     67 char_literals.rs
     57 byte_char_literals.rs
     17 strings.rs
     10 meta_recovery.rs
      4 unclosed_raw_string_with_unicode_escape.rs
      4 unclosed_raw_string_with_space.rs
      4 unclosed_raw_string_with_slash.rs
      4 unclosed_raw_string_with_slash_n.rs
      4 unclosed_raw_string_with_ferris.rs
      4 unclosed_raw_string_with_ascii_escape.rs
      4 unclosed_raw_string_at_eof.rs
      4 unclosed_raw_byte_string_with_unicode_escape.rs
      4 unclosed_raw_byte_string_with_space.rs
      4 unclosed_raw_byte_string_with_slash.rs
      4 unclosed_raw_byte_string_with_slash_n.rs
      4 unclosed_raw_byte_string_with_ferris.rs
      4 unclosed_raw_byte_string_with_ascii_escape.rs
      4 unclosed_raw_byte_string_at_eof.rs
      2 unclosed_byte_with_unicode_escape.rs
      2 unclosed_byte_with_space.rs
      2 unclosed_byte_with_slash.rs
      2 unclosed_byte_with_slash_n.rs
      2 unclosed_byte_with_ferris.rs
      2 unclosed_byte_with_ascii_escape.rs
      2 unclosed_byte_string_with_unicode_escape.rs
      2 unclosed_byte_string_with_space.rs
      2 unclosed_byte_string_with_slash.rs
      2 unclosed_byte_string_with_slash_n.rs
      2 unclosed_byte_string_with_ferris.rs
      2 unclosed_byte_string_with_ascii_escape.rs
      2 unclosed_byte_string_at_eof.rs
      2 unclosed_byte_at_eof.rs
      1 unclosed_string_with_unicode_escape.rs
      1 unclosed_string_with_space.rs
      1 unclosed_string_with_slash.rs
      1 unclosed_string_with_slash_n.rs
      1 unclosed_string_with_slash_double_quote.rs
      1 unclosed_string_with_ferris.rs
      1 unclosed_string_with_ascii_escape.rs
      1 unclosed_string_at_eof.rs
      1 unclosed_nested_block_comment_entirely.rs
      1 unclosed_char_with_unicode_escape.rs
      1 unclosed_char_with_space.rs
      1 unclosed_char_with_slash_single_quote.rs
      1 unclosed_char_with_slash.rs
      1 unclosed_char_with_slash_n.rs
      1 unclosed_char_with_ferris.rs
      1 unclosed_char_with_ascii_escape.rs
      1 unclosed_char_at_eof.rs
      1 unclosed_byte_with_slash_single_quote.rs
      1 unclosed_byte_string_with_slash_double_quote.rs
      1 unclosed_block_comment_with_content.rs
      1 unclosed_block_comment_at_eof.rs
      4 unstarted_raw_string_with_ascii.rs
      4 unstarted_raw_byte_string_with_ascii.rs
      3 unstarted_raw_string_at_eof.rs
      3 unstarted_raw_byte_string_at_eof.rs
      7 keywords.rs
      7 builtin_expr.rs
      7 0032_match_arms_inner_attrs.rs
      6 unsafe-binders.rs      
      5 0025_nope.rs
      3 0035_use_recover.rs
      3 0007_stray_curly_in_file.rs
      3 0002_duplicate_shebang.rs
      2 0064_let_else_right_curly_brace_assignment.rs
      2 0063_let_else_right_curly_brace_reference.rs
      2 0062_let_else_right_curly_brace_become.rs
      2 0060_let_else_right_curly_brace_unary.rs
      2 0059_let_else_right_curly_brace_closure.rs
      2 0058_let_else_right_curly_brace_range.rs
      2 0057_let_else_right_curly_brace_arithmetic.rs
      2 0054_float_split_scientific_notation.rs
      2 0048_double_fish.rs
      2 0044_item_modifiers.rs
      2 0042_weird_blocks.rs
      2 0033_match_arms_outer_attrs.rs
      2 0023_mismatched_paren.rs
      2 0018_incomplete_fn.rs
      1 0061_let_else_right_curly_brace_do_yeet.rs
      1 0055_impl_use.rs
      1 0047_repeated_extern_modifier.rs
      1 0039_lambda_recovery.rs
      1 0036_partial_use.rs
      1 0029_field_completion.rs
      1 0027_incomplete_where_for.rs
      1 0026_imp_recovery.rs
      1 0020_fn_recover.rs
      1 0019_let_recover.rs
      1 0017_incomplete_binexpr.rs
      1 0016_missing_semi.rs
      1 0015_curly_in_params.rs
      1 0014_where_no_bounds.rs
      1 0013_invalid_type.rs
      1 0011_extern_struct.rs
      1 0010_unsafe_lambda_block.rs
      1 0009_broken_struct_type_parameter.rs
      1 0008_item_block_recovery.rs
      1 0006_named_field_recovery.rs
      1 0005_attribute_recover.rs
      1 0003_C++_semicolon.rs
      1 0001_item_recovery_in_file.rs
      1 0000_struct_field_missing_comma.rs
      4 recover_from_missing_const_default.rs
      3 tuple_field_list_recovery.rs
      3 macro_rules_as_macro_name.rs
      2 use_tree_list_err_recovery.rs
      2 match_arms_recovery.rs
      2 gen_fn.rs
      2 generic_param_list_recover.rs
      2 generic_arg_list_recover.rs
      2 generic_arg_list_recover_expr.rs
      2 angled_path_without_qual.rs
      1 unsafe_block_in_mod.rs
      1 tuple_pat_leading_comma.rs
      1 tuple_expr_leading_comma.rs
      1 top_level_let.rs
      1 struct_field_recover.rs
      1 recover_from_missing_assoc_item_binding.rs
      1 record_pat_field_eq_recovery.rs
      1 record_literal_missing_ellipsis_recovery.rs
